Rk,Team,From,To,xG,MP,W,D,L,Pts,Pts/MP,GF,GA,GD,Poss,G-PK,PK,PKatt,PKm,xG.1,npxG,xGD,npxGD,xAG,xA,G-xG,np:G-xG,A-xAG,npxG/Sh,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK
1,Stuttgart,2024-2025,2024-2025,0.4,1,0,0,1,0,0.0,1,3,-2,67.0,1,0,0,0,0.4,0.4,-1.8,-1.8,0.2,0.6,0.6,0.6,-0.2,0.04,9,0.11,0.5,2,22.2,23.7,1
2,Union Berlin,2024-2025,2024-2025,0.6,1,0,1,0,1,1.0,1,1,0,47.0,1,0,0,0,0.6,0.6,-0.5,-0.5,0.5,0.5,0.4,0.4,0.5,0.04,15,0.07,0.2,5,33.3,19.8,0
3,St. Pauli,2024-2025,2024-2025,0.9,1,0,0,1,0,0.0,0,2,-2,60.0,0,0,0,0,0.9,0.9,-0.2,-0.2,0.8,1.2,-0.9,-0.9,-0.8,0.09,11,0.0,0.0,3,27.3,19.0,1
4,Bochum,2024-2025,2024-2025,1.0,1,0,0,1,0,0.0,0,1,-1,38.0,0,0,0,0,1.0,1.0,-0.3,-0.3,0.4,0.4,-1.0,-1.0,-0.4,0.11,10,0.0,0.0,3,30.0,19.3,1
5,Augsburg,2024-2025,2024-2025,1.0,1,0,1,0,1,1.0,2,2,0,46.0,2,0,0,0,1.0,1.0,-0.4,-0.4,0.9,0.9,1.0,1.0,1.1,0.1,11,0.18,0.67,3,27.3,15.9,0
6,Heidenheim,2024-2025,2024-2025,1.1,1,1,0,0,3,3.0,2,0,2,40.0,2,0,0,0,1.1,1.1,0.2,0.2,1.1,0.4,0.9,0.9,0.9,0.22,5,0.4,0.67,3,60.0,17.0,1
7,Mainz 05,2024-2025,2024-2025,1.2,1,0,1,0,1,1.0,1,1,0,53.0,1,0,0,0,1.2,1.2,0.5,0.5,0.7,1.4,-0.2,-0.2,-0.7,0.08,14,0.07,0.33,3,21.4,15.4,1
8,RB Leipzig,2024-2025,2024-2025,1.3,1,1,0,0,3,3.0,1,0,1,62.0,1,0,0,0,1.3,1.3,0.3,0.3,1.2,1.3,-0.3,-0.3,-1.2,0.1,13,0.08,0.33,3,23.1,14.7,0
9,Eintracht Frankfurt,2024-2025,2024-2025,1.4,1,0,0,1,0,0.0,0,2,-2,31.0,0,0,0,0,1.4,1.4,-0.3,-0.3,1.2,1.2,-1.4,-1.4,-1.2,0.2,7,0.0,0.0,2,28.6,17.0,0
10,Werder Bremen,2024-2025,2024-2025,1.4,1,0,1,0,1,1.0,2,2,0,54.0,2,0,0,0,1.4,1.4,0.4,0.4,1.4,1.2,0.6,0.6,0.6,0.13,11,0.18,0.4,5,45.5,13.0,0
11,Mönchengladbach,2024-2025,2024-2025,1.6,1,0,0,1,0,0.0,2,3,-1,43.0,2,0,0,0,1.6,1.6,-1.1,-0.2,0.8,1.1,0.4,0.4,-0.8,0.12,14,0.14,0.29,7,50.0,15.3,0
12,Dortmund,2024-2025,2024-2025,1.7,1,1,0,0,3,3.0,2,0,2,69.0,2,0,0,0,1.7,1.7,0.3,0.3,1.7,1.1,0.3,0.3,0.3,0.09,20,0.1,0.4,5,25.0,17.2,0
13,Holstein Kiel,2024-2025,2024-2025,1.7,1,0,0,1,0,0.0,2,3,-1,46.0,2,0,0,0,1.7,1.7,-1.7,-0.9,1.2,0.7,0.3,0.3,0.8,0.11,17,0.12,0.33,6,35.3,16.9,0
14,Wolfsburg,2024-2025,2024-2025,2.0,1,0,0,1,0,0.0,2,3,-1,30.0,1,1,1,0,2.0,1.2,-0.4,-1.2,0.8,0.9,0.0,-0.2,0.2,0.13,9,0.11,1.0,1,11.1,19.7,0
15,Freiburg,2024-2025,2024-2025,2.1,1,1,0,0,3,3.0,3,1,2,33.0,3,0,0,0,2.1,2.1,1.8,1.8,1.3,1.1,0.9,0.9,0.7,0.17,16,0.19,0.6,5,31.3,16.4,1
16,Bayern Munich,2024-2025,2024-2025,2.4,1,1,0,0,3,3.0,3,2,1,70.0,2,0,0,0,2.4,2.4,0.4,1.2,2.3,2.1,-0.4,-0.4,-0.3,0.16,15,0.13,0.25,8,53.3,11.1,0
17,Bayer Leverkusen,2024-2025,2024-2025,2.7,1,1,0,0,3,3.0,3,2,1,57.0,3,0,1,1,2.7,1.7,1.1,0.2,1.2,1.2,0.3,1.3,-1.2,0.07,24,0.13,0.33,9,37.5,18.3,1
18,Hoffenheim,2024-2025,2024-2025,3.5,1,1,0,0,3,3.0,3,2,1,54.0,2,1,1,0,3.5,2.7,1.7,0.9,1.9,1.8,-0.5,-0.7,-0.9,0.14,20,0.1,0.29,7,35.0,17.0,0
