Rk,Team,From,To,xG,MP,W,D,L,Pts,Pts/MP,GF,GA,GD,Poss,G-PK,PK,PKatt,PKm,xG.1,npxG,xGD,npxGD,xAG,xA,G-xG,np:G-xG,A-xAG,npxG/Sh,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK
1,Hertha BSC,2024-2025,2024-2025,1.8,3,1,1,1,4,1.33,4,3,1,59.7,3,0,0,0,1.8,1.8,-2.3,-2.3,0.9,1.6,1.2,1.2,1.1,0.05,36,0.08,0.3,10,27.8,19.6,0
2,Jahn Regensburg,2024-2025,2024-2025,2.3,3,1,0,2,3,1.0,1,4,-3,43.0,1,0,0,0,2.3,2.3,-1.7,-1.7,1.8,1.4,-1.3,-1.3,-1.8,0.08,30,0.03,0.17,6,20.0,19.0,1
3,Darmstadt 98,2024-2025,2024-2025,2.7,3,0,1,2,1,0.33,2,6,-4,51.7,2,0,0,0,2.7,2.7,-0.2,-0.2,2.2,3.1,-0.7,-0.7,-0.2,0.06,45,0.04,0.11,19,42.2,18.1,1
4,Ulm,2024-2025,2024-2025,2.8,3,0,0,3,0,0.0,2,5,-3,50.0,1,1,1,0,2.8,2.0,-2.7,-1.7,1.4,2.0,-0.8,-1.0,-0.4,0.05,42,0.02,0.08,13,31.0,20.3,1
5,Elversberg,2024-2025,2024-2025,2.9,3,0,2,1,2,0.67,4,5,-1,43.7,4,0,0,0,2.9,2.9,-2.5,-2.5,2.3,3.2,1.1,1.1,1.7,0.11,28,0.14,0.5,8,28.6,19.6,1
6,Nürnberg,2024-2025,2024-2025,2.9,3,1,1,1,4,1.33,6,5,1,45.0,6,0,0,0,2.9,2.9,-2.4,-2.4,1.3,1.6,3.1,3.1,3.7,0.1,28,0.21,0.43,14,50.0,21.2,1
7,Hamburger SV,2024-2025,2024-2025,3.4,3,1,1,1,4,1.33,3,3,0,44.7,3,0,0,0,3.4,3.4,-0.8,0.0,2.0,2.4,-0.4,-0.4,-1.0,0.11,31,0.1,0.33,9,29.0,15.0,3
8,Eintracht Braunschweig,2024-2025,2024-2025,3.6,3,0,0,3,0,0.0,2,13,-11,44.7,2,0,0,0,3.6,3.6,-3.9,-3.9,3.4,2.2,-1.6,-1.6,-1.4,0.09,39,0.05,0.13,16,41.0,17.4,1
9,Kaiserslautern,2024-2025,2024-2025,4.0,3,2,1,0,7,2.33,5,3,2,53.7,4,1,1,0,4.0,3.2,0.6,0.6,2.4,2.4,1.0,0.8,0.6,0.1,33,0.12,0.27,15,45.5,17.5,1
10,Karlsruher,2024-2025,2024-2025,4.0,3,2,1,0,7,2.33,6,4,2,52.0,6,0,0,0,4.0,4.0,0.3,0.3,3.2,2.5,2.0,2.0,2.8,0.12,35,0.17,0.5,12,34.3,16.9,4
11,Hannover 96,2024-2025,2024-2025,4.1,3,2,1,0,7,2.33,3,0,3,52.0,2,1,1,0,4.1,3.3,0.9,0.1,3.1,2.5,-1.1,-1.3,-1.1,0.1,34,0.06,0.25,8,23.5,16.4,1
12,Magdeburg,2024-2025,2024-2025,4.8,3,1,2,0,5,1.67,5,3,2,54.7,5,0,0,0,4.8,4.8,1.0,1.0,4.1,4.2,0.2,0.2,-0.1,0.11,45,0.11,0.26,19,42.2,16.9,1
13,Paderborn 07,2024-2025,2024-2025,4.9,3,2,1,0,7,2.33,6,3,3,47.7,6,0,0,0,4.9,4.9,3.0,3.0,4.3,4.0,1.1,1.1,0.7,0.12,41,0.15,0.5,12,29.3,15.7,0
14,Düsseldorf,2024-2025,2024-2025,5.0,3,2,1,0,7,2.33,4,1,3,53.3,3,0,1,1,5.0,4.1,2.0,1.9,3.7,2.8,-2.0,-1.1,-1.7,0.1,42,0.07,0.23,13,31.0,18.5,0
15,Schalke 04,2024-2025,2024-2025,5.1,3,1,1,1,4,1.33,8,6,2,50.3,8,0,0,0,5.1,5.1,2.2,2.2,3.7,3.3,2.9,2.9,2.3,0.12,43,0.19,0.47,17,39.5,17.3,1
16,Preußen Münster,2024-2025,2024-2025,5.9,3,0,1,2,1,0.33,1,4,-3,47.7,1,0,0,0,5.9,5.9,2.0,2.8,4.6,2.2,-4.9,-4.9,-3.6,0.16,42,0.02,0.07,14,33.3,18.2,3
17,Greuther Fürth,2024-2025,2024-2025,6.1,3,1,2,0,5,1.67,6,4,2,47.3,4,2,2,0,6.1,4.5,-0.6,-2.1,3.5,2.5,-0.1,-0.5,-0.5,0.1,48,0.08,0.24,17,35.4,19.3,2
18,Köln,2024-2025,2024-2025,8.4,3,1,1,1,4,1.33,8,4,4,59.0,8,0,0,0,8.4,8.4,5.0,5.0,7.6,6.2,-0.4,-0.4,0.4,0.12,75,0.11,0.33,24,32.0,16.4,2
