Rk,Team,From,To,xG,MP,W,D,L,Pts,Pts/MP,GF,GA,GD,Poss,G-PK,PK,PKatt,PKm,xG.1,npxG,xGD,npxGD,xAG,xA,G-xG,np:G-xG,A-xAG,npxG/Sh,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK
1,Plymouth Argyle,2024-2025,2024-2025,1.0,3,0,2,1,2,0.67,2,6,-4,44.7,2,0,0,0,1.0,1.0,-6.3,-6.3,0.8,0.6,1.0,1.0,-0.8,0.04,27,0.07,0.22,9,33.3,23.1,1
2,Preston North End,2024-2025,2024-2025,1.7,3,1,0,2,3,1.0,1,5,-4,43.0,1,0,0,0,1.7,1.7,-3.3,-2.5,1.3,1.2,-0.7,-0.7,-0.3,0.07,23,0.04,0.17,6,26.1,18.6,0
3,Cardiff City,2024-2025,2024-2025,2.3,3,0,1,2,1,0.33,1,8,-7,52.0,1,0,0,0,2.3,2.3,-1.5,-1.5,2.0,1.5,-1.3,-1.3,-1.0,0.08,30,0.03,0.09,11,36.7,17.7,3
4,Burnley,2024-2025,2024-2025,2.4,3,2,0,1,6,2.0,9,2,7,49.7,8,0,0,0,2.4,2.4,-0.4,-0.4,1.9,1.6,5.6,5.6,4.1,0.1,24,0.33,0.73,11,45.8,17.2,0
5,Oxford United,2024-2025,2024-2025,2.7,3,1,0,2,3,1.0,5,5,0,46.7,5,0,0,0,2.7,2.7,-1.8,-1.8,2.2,1.5,2.3,2.3,0.8,0.09,31,0.16,0.56,9,29.0,17.3,0
6,Portsmouth,2024-2025,2024-2025,2.9,3,0,3,0,3,1.0,5,5,0,42.7,4,1,1,0,2.9,2.1,-4.1,-3.3,1.2,1.3,2.1,1.9,0.8,0.08,26,0.15,0.33,12,46.2,19.7,1
7,Derby County,2024-2025,2024-2025,2.9,3,1,0,2,3,1.0,4,6,-2,39.7,4,0,0,0,2.9,2.9,-1.9,-1.9,1.2,1.6,1.1,1.1,1.8,0.12,23,0.17,0.44,9,39.1,15.2,0
8,Hull City,2024-2025,2024-2025,3.2,3,0,3,0,3,1.0,2,2,0,55.0,1,1,1,0,3.2,2.5,0.5,-0.3,1.9,2.2,-1.2,-1.5,-0.9,0.07,38,0.03,0.1,10,26.3,18.3,3
9,Sheffield United,2024-2025,2024-2025,3.5,3,1,2,0,5,1.67,5,3,2,50.0,5,0,0,0,3.5,3.5,1.3,1.3,3.0,3.5,1.5,1.5,0.0,0.1,37,0.14,0.5,10,27.0,17.8,1
10,Stoke City,2024-2025,2024-2025,3.6,3,1,0,2,3,1.0,2,5,-3,45.7,2,0,0,0,3.6,3.6,-0.9,-0.9,2.9,2.3,-1.6,-1.6,-0.9,0.16,25,0.08,0.29,7,28.0,18.5,0
