Rk,Team,From,To,xG,MP,W,D,L,Pts,Pts/MP,GF,GA,GD,Poss,G-PK,PK,PKatt,PKm,xG.1,npxG,xGD,npxGD,xAG,xA,G-xG,np:G-xG,A-xAG,npxG/Sh,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK
1,Almere City,2024-2025,2024-2025,1.4,3,0,0,3,0,0.0,1,11,-10,39.7,1,0,0,0,1.4,1.4,-6.0,-6.0,1.2,2.5,-0.4,-0.4,-0.2,0.07,19,0.05,0.14,7,36.8,18.6,1
2,Zwolle,2024-2025,2024-2025,1.5,3,0,0,3,0,0.0,1,7,-6,46.0,1,0,0,0,1.5,1.5,-3.9,-3.9,1.1,0.9,-0.5,-0.5,-1.1,0.06,23,0.04,0.14,7,30.4,19.1,1
3,Willem II,2024-2025,2024-2025,2.0,3,1,2,0,5,1.67,4,2,2,41.0,3,1,1,0,2.0,1.2,-1.6,-2.4,1.1,1.7,2.0,1.8,1.9,0.06,19,0.16,0.5,6,31.6,16.9,0
4,Sparta Rotterdam,2024-2025,2024-2025,2.2,3,0,3,0,3,1.0,2,2,0,50.3,2,0,0,0,2.2,2.2,-1.6,-0.9,1.6,2.5,-0.2,-0.2,0.4,0.07,31,0.06,0.2,10,32.3,16.2,0
5,RKC Waalwijk,2024-2025,2024-2025,2.7,3,0,0,3,0,0.0,2,9,-7,38.0,2,0,0,0,2.7,2.7,-4.4,-4.4,1.8,2.1,-0.7,-0.7,-1.8,0.09,30,0.07,0.17,12,40.0,16.6,0
6,Heracles Almelo,2024-2025,2024-2025,2.8,3,0,2,1,2,0.67,2,4,-2,37.7,1,1,1,0,2.8,2.0,-0.8,-1.5,1.3,1.9,-0.8,-1.0,-0.3,0.07,31,0.03,0.1,10,32.3,20.6,3
7,Ajax,2024-2025,2024-2025,2.8,2,1,0,1,3,1.5,2,2,0,61.5,2,0,0,0,2.8,2.8,1.3,1.3,2.3,3.5,-0.8,-0.8,-0.3,0.1,28,0.07,0.25,8,28.6,17.3,3
8,Heerenveen,2024-2025,2024-2025,2.8,2,0,1,1,1,0.5,1,2,-1,58.0,1,0,0,0,2.8,2.8,0.3,0.3,1.8,2.1,-1.8,-1.8,-1.8,0.11,28,0.04,0.11,9,32.1,17.5,1
9,AZ Alkmaar,2024-2025,2024-2025,2.9,3,2,1,0,7,2.33,2,0,2,56.3,2,0,0,0,2.9,2.9,1.9,1.9,2.0,2.7,-0.9,-0.9,-2.0,0.08,37,0.05,0.15,13,35.1,18.8,2
10,NAC Breda,2024-2025,2024-2025,3.1,3,1,0,2,3,1.0,4,7,-3,33.7,3,1,1,0,3.1,2.3,-2.3,-2.3,2.2,1.9,0.9,0.7,0.8,0.12,19,0.16,0.43,7,36.8,17.2,0
11,NEC Nijmegen,2024-2025,2024-2025,3.2,3,1,0,2,3,1.0,2,3,-1,50.0,2,0,0,0,3.2,3.2,-0.8,-0.8,1.7,2.0,-1.2,-1.2,-0.7,0.09,37,0.05,0.4,5,13.5,18.1,1
12,Utrecht,2024-2025,2024-2025,3.8,3,2,1,0,7,2.33,4,2,2,47.3,4,0,0,0,3.8,3.8,0.2,0.2,3.5,3.3,0.2,0.2,0.5,0.14,28,0.14,0.31,13,46.4,12.0,0
13,Fortuna Sittard,2024-2025,2024-2025,4.0,2,2,0,0,6,3.0,5,0,5,44.0,5,0,0,0,4.0,4.0,1.8,1.8,2.5,2.1,1.0,1.0,1.5,0.13,33,0.15,0.42,12,36.4,16.9,3
14,Go Ahead Eagles,2024-2025,2024-2025,4.3,3,1,0,2,3,1.0,2,4,-2,61.0,2,0,0,0,4.3,4.3,1.5,2.3,3.3,4.5,-2.3,-2.3,-2.3,0.09,49,0.04,0.18,11,22.4,17.2,0
15,Groningen,2024-2025,2024-2025,4.3,3,2,1,0,7,2.33,6,2,4,51.3,5,1,1,0,4.3,3.5,1.3,1.3,3.3,4.1,1.7,1.5,1.7,0.11,33,0.15,0.28,18,54.5,17.4,1
16,Twente,2024-2025,2024-2025,4.9,2,1,1,0,4,2.0,3,2,1,53.0,2,1,1,0,4.9,4.1,3.1,2.3,3.5,4.1,-1.9,-2.1,-1.5,0.12,35,0.06,0.29,7,20.0,19.2,0
17,Feyenoord,2024-2025,2024-2025,5.1,3,1,2,0,5,1.67,7,3,4,62.0,7,0,0,0,5.1,5.1,3.6,3.6,4.4,4.5,1.9,1.9,1.6,0.09,55,0.13,0.35,20,36.4,16.4,4
18,PSV Eindhoven,2024-2025,2024-2025,9.1,3,3,0,0,9,3.0,15,3,12,74.7,13,0,0,0,9.1,9.1,6.3,7.1,8.4,8.6,3.9,3.9,4.6,0.12,73,0.18,0.42,31,42.5,15.6,1
