Rk,Team,From,To,xG,MP,W,D,L,Pts,Pts/MP,GF,GA,GD,Poss,G-PK,PK,PKatt,PKm,xG.1,npxG,xGD,npxGD,xAG,xA,G-xG,np:G-xG,A-xAG,npxG/Sh,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK
1,Valladolid,2024-2025,2024-2025,1.2,2,1,0,1,3,1.5,1,3,-2,41.5,1,0,0,0,1.2,1.2,-1.6,-1.6,1.2,1.3,-0.2,-0.2,-0.2,0.06,20,0.05,1.0,1,5.0,20.0,0
2,Rayo Vallecano,2024-2025,2024-2025,1.3,2,1,1,0,4,2.0,2,1,1,43.0,2,0,0,0,1.3,1.3,-0.2,-0.2,0.8,0.7,0.7,0.7,1.2,0.09,15,0.13,0.5,4,26.7,23.2,1
3,Getafe,2024-2025,2024-2025,1.3,2,0,2,0,2,1.0,1,1,0,40.0,1,0,0,0,1.3,1.3,0.8,0.8,1.1,0.8,-0.3,-0.3,-0.1,0.06,21,0.05,0.5,2,9.5,17.8,0
4,Athletic Club,2024-2025,2024-2025,1.3,2,0,1,1,1,0.5,2,3,-1,52.0,1,1,1,0,1.3,0.6,-1.3,-2.1,0.5,1.1,0.7,0.4,0.5,0.04,14,0.07,0.2,5,35.7,22.1,1
5,Mallorca,2024-2025,2024-2025,1.6,2,0,1,1,1,0.5,1,2,-1,44.0,1,0,0,0,1.6,1.6,0.4,0.4,0.9,1.6,-0.6,-0.6,0.1,0.07,22,0.05,0.17,6,27.3,17.5,0
6,Villarreal,2024-2025,2024-2025,1.7,2,1,1,0,4,2.0,4,3,1,42.5,3,0,0,0,1.7,1.7,-0.5,-0.5,1.2,1.2,1.3,1.3,0.8,0.1,17,0.18,0.33,9,52.9,16.4,2
7,Real Sociedad,2024-2025,2024-2025,1.8,2,1,0,1,3,1.5,2,2,0,66.0,2,0,0,0,1.8,1.8,-0.9,-0.9,1.0,1.4,0.2,0.2,0.0,0.09,19,0.11,0.29,7,36.8,17.4,1
8,Alavés,2024-2025,2024-2025,1.8,2,0,1,1,1,0.5,1,2,-1,37.5,1,0,0,0,1.8,1.8,-0.5,-0.5,1.1,1.2,-0.8,-0.8,-0.1,0.12,15,0.07,0.33,3,20.0,15.9,0
9,Valencia,2024-2025,2024-2025,1.9,2,0,0,2,0,0.0,2,5,-3,44.0,2,0,0,0,1.9,1.9,-2.6,-1.0,1.8,2.4,0.1,0.1,0.2,0.1,19,0.11,0.4,5,26.3,16.0,0
10,Celta Vigo,2024-2025,2024-2025,2.1,2,2,0,0,6,3.0,5,2,3,56.0,5,0,1,1,2.1,1.4,-0.4,-1.1,1.3,1.5,2.9,3.6,2.7,0.11,12,0.42,0.63,8,66.7,17.9,1
11,Espanyol,2024-2025,2024-2025,2.2,2,0,0,2,0,0.0,0,2,-2,44.0,0,0,0,0,2.2,2.2,0.8,0.8,1.6,0.8,-2.2,-2.2,-1.6,0.11,23,0.0,0.0,5,21.7,16.7,1
12,Atlético Madrid,2024-2025,2024-2025,2.3,2,1,1,0,4,2.0,5,2,3,49.5,5,0,0,0,2.3,2.3,0.9,0.9,2.1,1.7,2.7,2.7,1.9,0.12,20,0.25,0.5,10,50.0,17.3,1
13,Girona,2024-2025,2024-2025,2.3,2,0,1,1,1,0.5,1,4,-3,59.0,1,0,0,0,2.3,2.3,-0.3,-0.3,2.0,2.3,-1.3,-1.3,-1.0,0.09,26,0.04,0.17,6,23.1,18.5,0
14,Osasuna,2024-2025,2024-2025,2.3,2,1,1,0,4,2.0,2,1,1,53.5,1,0,0,0,2.3,2.3,0.8,0.8,1.7,1.7,-1.3,-1.3,-1.7,0.07,31,0.03,0.09,11,35.5,16.4,1
15,Las Palmas,2024-2025,2024-2025,2.3,2,0,1,1,1,0.5,3,4,-1,54.5,2,0,0,0,2.3,2.3,-1.1,-0.3,2.2,1.7,-0.3,-0.3,-0.2,0.09,25,0.08,0.2,10,40.0,17.6,0
16,Leganés,2024-2025,2024-2025,2.5,2,1,1,0,4,2.0,3,2,1,39.0,3,0,1,1,2.5,1.7,-0.2,-0.9,1.4,1.1,0.5,1.3,1.6,0.09,19,0.16,0.38,8,42.1,18.6,2
17,Real Madrid,2024-2025,2024-2025,2.7,2,1,1,0,4,2.0,4,1,3,64.5,4,0,0,0,2.7,2.7,1.2,1.2,2.5,2.6,1.3,1.3,1.5,0.09,30,0.13,0.29,14,46.7,19.0,1
18,Real Betis,2024-2025,2024-2025,2.8,2,0,2,0,2,1.0,1,1,0,50.5,1,0,0,0,2.8,2.8,1.1,1.1,2.4,1.8,-1.8,-1.8,-1.4,0.08,34,0.03,0.14,7,20.6,19.3,0
19,Sevilla,2024-2025,2024-2025,2.9,2,0,1,1,1,0.5,3,4,-1,55.5,2,0,0,0,2.9,2.9,0.6,0.6,2.0,2.2,-0.9,-0.9,0.0,0.09,34,0.06,0.17,12,35.3,17.6,1
20,Barcelona,2024-2025,2024-2025,5.0,2,2,0,0,6,3.0,4,2,2,63.5,3,1,1,0,5.0,4.2,3.0,3.0,3.9,2.6,-1.0,-1.2,-2.9,0.14,30,0.1,0.3,10,33.3,17.7,1
