Rk,Team,From,To,xG,MP,W,D,L,Pts,Pts/MP,GF,GA,GD,Poss,G-PK,PK,PKatt,PKm,xG.1,npxG,xGD,npxGD,xAG,xA,G-xG,np:G-xG,A-xAG,npxG/Sh,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK
1,Ajaccio,2024-2025,2024-2025,0.3,1,1,0,0,3,3.0,1,0,1,55.0,1,0,0,0,0.3,0.3,-0.7,-0.7,0.2,0.2,0.7,0.7,-0.2,0.04,8,0.13,0.5,2,25.0,23.8,0
2,Red Star,2024-2025,2024-2025,0.9,1,0,0,1,0,0.0,0,3,-3,51.0,0,0,0,0,0.9,0.9,-0.3,-0.3,0.9,0.9,-0.9,-0.9,-0.9,0.08,11,0.0,0.0,2,18.2,18.4,0
3,Troyes,2024-2025,2024-2025,1.2,2,0,0,2,0,0.0,0,5,-5,48.5,0,0,0,0,1.2,1.2,-2.3,-1.5,0.8,1.0,-1.2,-1.2,-0.8,0.05,25,0.0,0.0,8,32.0,18.4,1
4,Bastia,2024-2025,2024-2025,1.6,2,1,1,0,4,2.0,2,1,1,45.0,2,0,0,0,1.6,1.6,-0.1,-0.1,1.1,1.3,0.4,0.4,-1.1,0.09,18,0.11,0.33,6,33.3,18.4,1
5,Rodez Aveyron,2024-2025,2024-2025,1.9,2,0,0,2,0,0.0,1,4,-3,41.5,1,0,0,0,1.9,1.9,-2.0,-1.2,1.5,2.2,-0.9,-0.9,-0.5,0.08,25,0.04,0.17,6,24.0,18.3,2
6,Grenoble Foot,2024-2025,2024-2025,1.9,2,1,0,1,3,1.5,2,3,-1,50.5,2,0,0,0,1.9,1.9,-1.2,-1.2,1.6,2.1,0.1,0.1,-1.6,0.12,16,0.13,0.33,6,37.5,14.2,0
7,Amiens,2024-2025,2024-2025,1.9,2,1,0,1,3,1.5,3,1,2,44.0,3,0,0,0,1.9,1.9,-0.4,-0.4,1.3,1.2,1.1,1.1,1.7,0.09,21,0.14,0.38,8,38.1,18.8,2
8,Dunkerque,2024-2025,2024-2025,2.0,2,0,0,2,0,0.0,2,5,-3,49.5,1,0,0,0,2.0,2.0,-1.1,-1.1,1.6,1.0,-1.0,-1.0,-1.6,0.12,18,0.06,0.2,5,27.8,17.0,0
9,Martigues,2024-2025,2024-2025,2.1,2,1,0,1,3,1.5,4,3,1,39.5,4,0,0,0,2.1,2.1,-0.7,-0.7,1.3,0.6,1.9,1.9,1.7,0.17,12,0.33,0.67,6,50.0,13.6,0
10,Clermont Foot,2024-2025,2024-2025,2.3,2,1,1,0,4,2.0,3,2,1,56.0,2,1,1,0,2.3,1.5,0.3,-0.5,1.2,2.0,0.7,0.5,0.8,0.09,17,0.12,0.4,5,29.4,18.6,1
11,Pau FC,2024-2025,2024-2025,2.4,2,1,1,0,4,2.0,3,2,1,36.5,3,0,0,0,2.4,2.4,-0.4,-0.4,1.5,1.5,0.6,0.6,0.5,0.13,18,0.17,0.5,6,33.3,19.3,0
12,Stade Laval,2024-2025,2024-2025,2.4,2,0,0,2,0,0.0,1,3,-2,47.0,1,0,0,0,2.4,2.4,-0.4,-0.4,1.9,1.7,-1.4,-1.4,-1.9,0.09,27,0.04,0.25,4,14.8,14.7,0
13,Caen,2024-2025,2024-2025,2.8,2,0,0,2,0,0.0,0,3,-3,53.5,0,0,0,0,2.8,2.8,-0.1,0.7,2.4,3.2,-2.8,-2.8,-2.4,0.09,33,0.0,0.0,9,27.3,16.6,0
14,Paris FC,2024-2025,2024-2025,2.9,2,2,0,0,6,3.0,5,2,3,63.0,4,1,1,0,2.9,2.1,1.0,0.2,1.8,1.7,2.1,1.9,2.2,0.1,21,0.19,0.57,7,33.3,17.7,2
15,Lorient,2024-2025,2024-2025,3.1,2,2,0,0,6,3.0,3,0,3,58.5,3,0,0,0,3.1,3.1,2.4,2.4,1.9,1.7,-0.1,-0.1,1.1,0.12,28,0.11,0.3,10,35.7,19.2,1
16,Annecy,2024-2025,2024-2025,3.7,2,1,0,1,3,1.5,4,4,0,46.5,4,0,0,0,3.7,3.7,0.5,0.5,3.5,2.5,0.3,0.3,-2.5,0.11,35,0.11,0.4,10,28.6,16.1,1
17,Guingamp,2024-2025,2024-2025,4.0,2,2,0,0,6,3.0,5,0,5,51.0,5,0,0,0,4.0,4.0,2.1,2.1,3.7,2.4,1.0,1.0,1.3,0.13,31,0.16,0.63,8,25.8,15.9,1
18,Metz,2024-2025,2024-2025,4.5,2,1,1,0,4,2.0,4,2,2,66.5,3,0,1,1,4.5,3.7,3.4,2.6,1.8,2.2,-1.5,-0.7,-0.8,0.12,31,0.1,0.38,8,25.8,15.6,1
