Rk,Team,From,To,xG,MP,W,D,L,Pts,Pts/MP,GF,GA,GD,Poss,G-PK,PK,PKatt,PKm,xG.1,npxG,xGD,npxGD,xAG,xA,G-xG,np:G-xG,A-xAG,npxG/Sh,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK
1,Ipswich Town,2024-2025,2024-2025,0.7,2,0,0,2,0,0.0,1,6,-5,31.5,1,0,0,0,0.7,0.7,-5.2,-4.4,0.6,0.6,0.3,0.3,0.4,0.09,8,0.13,0.33,3,37.5,16.7,0
2,Everton,2024-2025,2024-2025,1.4,2,0,0,2,0,0.0,0,7,-7,35.0,0,0,0,0,1.4,1.4,-2.4,-2.4,1.1,1.6,-1.4,-1.4,-1.1,0.08,19,0.0,0.0,2,10.5,14.0,0
3,Leicester City,2024-2025,2024-2025,1.6,2,0,1,1,1,0.5,2,3,-1,38.0,2,0,0,0,1.6,1.6,-1.3,-1.3,1.3,1.3,0.4,0.4,0.7,0.1,17,0.12,0.29,7,41.2,20.0,1
4,Brentford,2024-2025,2024-2025,1.9,2,1,0,1,3,1.5,2,3,-1,42.0,2,0,0,0,1.9,1.9,-1.8,-1.8,1.0,0.9,0.1,0.1,0.0,0.13,17,0.12,0.29,7,41.2,15.4,0
5,Newcastle United,2024-2025,2024-2025,1.9,2,1,1,0,4,2.0,2,1,1,42.0,2,0,0,0,1.9,1.9,-2.1,-2.1,1.9,1.6,0.1,0.1,0.1,0.11,17,0.12,0.33,6,35.3,12.7,0
6,Southampton,2024-2025,2024-2025,1.9,2,0,0,2,0,0.0,0,2,-2,70.5,0,0,0,0,1.9,1.9,-0.6,-0.6,1.6,2.0,-1.9,-1.9,-1.6,0.08,24,0.0,0.0,4,16.7,17.5,1
7,Arsenal,2024-2025,2024-2025,2.1,2,2,0,0,6,3.0,4,0,4,56.5,4,0,0,0,2.1,2.1,0.4,0.4,1.8,2.3,1.9,1.9,1.2,0.08,27,0.15,0.4,10,37.0,17.8,0
8,Fulham,2024-2025,2024-2025,2.2,2,1,0,1,3,1.5,2,2,0,49.5,2,0,0,0,2.2,2.2,-0.8,-0.8,2.1,1.6,-0.2,-0.2,-0.1,0.08,28,0.07,0.25,8,28.6,16.2,1
9,Wolverhampton Wanderers,2024-2025,2024-2025,2.4,2,0,0,2,0,0.0,2,8,-6,43.5,2,0,0,0,2.4,2.4,-0.4,-0.4,2.0,1.4,-0.4,-0.4,0.0,0.12,21,0.1,0.29,7,33.3,19.2,2
10,Crystal Palace,2024-2025,2024-2025,2.5,2,0,0,2,0,0.0,1,4,-3,56.0,0,0,0,0,2.5,2.5,-0.4,-0.4,2.2,1.6,-2.5,-2.5,-2.2,0.09,28,0.0,0.0,8,28.6,19.3,1
11,Chelsea,2024-2025,2024-2025,2.6,2,1,0,1,3,1.5,6,4,2,54.0,6,0,0,0,2.6,2.6,-0.1,-0.1,2.4,1.5,3.4,3.4,2.6,0.11,24,0.25,0.55,11,45.8,16.1,1
12,Aston Villa,2024-2025,2024-2025,3.2,2,1,0,1,3,1.5,2,3,-1,44.0,2,0,0,0,3.2,3.2,0.1,0.8,2.4,1.4,-1.2,-1.2,-0.4,0.13,26,0.08,0.33,6,23.1,15.5,0
13,Brighton & Hove Albion,2024-2025,2024-2025,3.5,2,2,0,0,6,3.0,5,1,4,54.0,5,0,0,0,3.5,3.5,1.6,1.6,3.4,3.3,1.5,1.5,1.6,0.15,24,0.21,0.56,9,37.5,14.1,1
14,Bournemouth,2024-2025,2024-2025,3.5,2,0,2,0,2,1.0,2,2,0,43.0,2,0,0,0,3.5,3.5,0.5,0.5,2.7,2.3,-1.5,-1.5,-1.7,0.12,29,0.07,0.25,8,27.6,17.9,2
15,Nottingham Forest,2024-2025,2024-2025,3.6,2,1,1,0,4,2.0,2,1,1,44.5,2,0,0,0,3.6,3.6,2.2,2.2,2.5,1.8,-1.6,-1.6,-2.5,0.1,37,0.05,0.13,16,43.2,18.0,0
16,Tottenham Hotspur,2024-2025,2024-2025,3.6,2,1,1,0,4,2.0,5,1,4,70.0,5,0,0,0,3.6,3.6,1.6,1.6,2.5,3.5,1.4,1.4,1.5,0.13,28,0.18,0.38,13,46.4,13.9,1
17,West Ham United,2024-2025,2024-2025,3.7,2,1,0,1,3,1.5,3,2,1,47.0,2,1,1,0,3.7,2.9,0.3,-0.5,1.6,1.9,-0.7,-0.9,-0.6,0.1,31,0.06,0.4,5,16.1,15.7,0
18,Manchester United,2024-2025,2024-2025,3.9,2,1,0,1,3,1.5,2,2,0,53.5,2,0,0,0,3.9,3.9,1.3,1.3,3.5,2.3,-1.9,-1.9,-1.5,0.15,25,0.08,0.25,8,32.0,17.0,0
19,Manchester City,2024-2025,2024-2025,4.1,2,2,0,0,6,3.0,6,1,5,63.5,5,1,1,0,4.1,3.3,2.9,2.1,2.9,2.7,1.9,1.7,0.1,0.14,24,0.21,0.56,9,37.5,18.4,1
20,Liverpool,2024-2025,2024-2025,5.1,2,2,0,0,6,3.0,4,0,4,62.0,4,0,0,0,5.1,5.1,4.3,4.3,4.5,4.3,-1.1,-1.1,-1.5,0.14,37,0.11,0.31,13,35.1,14.2,1
