Rk,Team,From,To,xG,MP,W,D,L,Pts,Pts/MP,GF,GA,GD,Poss,G-PK,PK,PKatt,PKm,xG.1,npxG,xGD,npxGD,xAG,xA,G-xG,np:G-xG,A-xAG,npxG/Sh,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK
1,Estoril,2024-2025,2024-2025,0.8,3,0,1,2,1,0.33,1,5,-4,43.7,1,0,0,0,0.8,0.8,-4.5,-3.8,0.6,1.0,0.2,0.2,0.4,0.05,18,0.06,0.25,4,22.2,19.0,0
2,Estrela,2024-2025,2024-2025,1.5,3,0,1,2,1,0.33,1,5,-4,42.7,1,0,0,0,1.5,1.5,-3.2,-3.2,1.4,1.4,-0.5,-0.5,-0.4,0.07,23,0.04,0.2,5,21.7,23.1,0
3,Rio Ave,2024-2025,2024-2025,1.8,3,1,0,2,3,1.0,2,5,-3,40.3,2,0,0,0,1.8,1.8,-5.0,-5.0,1.0,0.7,0.2,0.2,0.0,0.14,13,0.15,0.5,4,30.8,18.5,0
4,Casa Pia,2024-2025,2024-2025,2.0,3,0,0,3,0,0.0,0,6,-6,54.0,0,0,0,0,2.0,2.0,-2.4,-1.6,1.7,2.6,-2.0,-2.0,-1.7,0.06,31,0.0,0.0,6,19.4,17.3,2
5,Boavista,2024-2025,2024-2025,2.0,3,1,0,2,3,1.0,1,2,-1,35.7,0,1,1,0,2.0,1.2,-0.6,-1.4,0.8,1.1,-1.0,-1.2,-0.8,0.07,19,0.0,0.0,4,21.1,19.6,1
6,Farense,2024-2025,2024-2025,2.2,3,0,0,3,0,0.0,1,8,-7,44.7,1,0,0,0,2.2,2.2,-5.2,-4.4,1.7,1.8,-1.2,-1.2,-0.7,0.06,38,0.03,0.1,10,26.3,19.1,1
7,Arouca,2024-2025,2024-2025,2.4,3,1,0,2,3,1.0,2,4,-2,55.0,2,0,0,0,2.4,2.4,-1.9,-1.1,2.1,1.4,-0.4,-0.4,-1.1,0.08,31,0.06,0.25,8,25.8,21.3,3
8,Nacional,2024-2025,2024-2025,2.8,3,0,1,2,1,0.33,2,8,-6,45.0,2,0,0,0,2.8,2.8,-2.5,-1.7,1.7,1.9,-0.8,-0.8,-0.7,0.09,32,0.06,0.25,8,25.0,18.5,1
9,AVS Futebol,2024-2025,2024-2025,3.1,3,1,1,1,4,1.33,4,5,-1,42.7,4,0,0,0,3.1,3.1,-1.3,-0.5,2.3,2.6,0.9,0.9,1.7,0.09,38,0.11,0.4,10,26.3,20.7,2
10,Gil Vicente FC,2024-2025,2024-2025,3.6,3,1,1,1,4,1.33,4,5,-1,47.0,3,1,1,0,3.6,2.8,-1.8,-1.0,2.4,2.4,0.4,0.2,-0.4,0.1,29,0.1,0.3,10,34.5,17.0,0
11,Vitória Guimarães,2024-2025,2024-2025,4.0,3,2,0,1,6,2.0,2,1,1,54.0,2,0,0,0,4.0,4.0,2.8,2.8,3.0,3.0,-2.0,-2.0,-1.0,0.1,44,0.05,0.13,15,34.1,15.5,0
12,Famalicão,2024-2025,2024-2025,4.0,3,3,0,0,9,3.0,6,0,6,47.7,6,0,0,0,4.0,4.0,2.3,2.3,3.1,2.5,2.0,2.0,0.9,0.12,33,0.18,0.5,12,36.4,21.0,2
13,Santa Clara,2024-2025,2024-2025,4.1,3,2,0,1,6,2.0,6,3,3,46.0,5,1,1,0,4.1,3.3,2.1,2.1,2.6,3.5,1.9,1.7,2.4,0.14,25,0.2,0.45,11,44.0,16.7,1
14,Braga,2024-2025,2024-2025,4.2,3,2,1,0,7,2.33,5,2,3,67.3,5,0,0,0,4.2,4.2,0.7,0.7,3.6,4.3,0.8,0.8,1.4,0.09,45,0.11,0.42,12,26.7,17.0,3
15,Benfica,2024-2025,2024-2025,4.7,3,2,0,1,6,2.0,4,2,2,61.0,4,0,0,0,4.7,4.7,2.8,2.8,4.1,4.6,-0.7,-0.7,-0.1,0.09,56,0.07,0.21,19,33.9,17.2,2
16,Moreirense,2024-2025,2024-2025,6.6,3,2,0,1,6,2.0,6,5,1,41.3,5,1,1,0,6.6,5.8,2.5,1.7,4.3,3.4,-0.6,-0.8,-1.3,0.16,39,0.13,0.31,16,41.0,13.8,0
17,Porto,2024-2025,2024-2025,7.9,3,3,0,0,9,3.0,7,0,7,68.0,4,3,3,0,7.9,5.6,7.0,4.7,4.6,5.4,-0.9,-1.6,-0.6,0.12,47,0.09,0.2,20,42.6,18.7,2
18,Sporting CP,2024-2025,2024-2025,10.0,3,3,0,0,9,3.0,14,2,12,64.0,11,2,2,0,10.0,8.4,8.1,6.5,6.8,4.9,3.0,2.6,0.2,0.11,76,0.14,0.48,23,30.3,17.3,1
