Rk,Team,From,To,xG,MP,W,D,L,Pts,Pts/MP,GF,GA,GD,Poss,G-PK,PK,PKatt,PKm,xG.1,npxG,xGD,npxGD,xAG,xA,G-xG,np:G-xG,A-xAG,npxG/Sh,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK
1,Independiente,2024,2024,7.7,12,3,6,3,15,1.25,8,9,-1,47.9,6,1,1,0,7.7,6.9,-3.8,-3.1,4.9,5.3,-0.7,-0.9,-0.9,0.06,119,0.05,0.14,44,37.0,19.2,10
2,Barracas Central,2024,2024,7.8,11,1,5,5,8,0.73,5,12,-7,51.3,5,0,0,0,7.8,7.8,-10.6,-8.2,6.1,5.8,-2.8,-2.8,-2.1,0.06,127,0.04,0.14,36,28.3,22.4,11
3,Independiente Rivadavia,2024,2024,9.1,12,4,3,5,15,1.25,8,9,-1,43.8,8,0,1,1,9.1,8.3,-0.9,-0.9,7.3,8.4,-1.1,-0.3,-0.3,0.07,116,0.07,0.28,29,25.0,19.2,4
4,Argentinos Juniors,2024,2024,9.6,12,4,2,6,14,1.17,8,15,-7,60.8,7,1,1,0,9.6,8.8,0.2,1.0,6.6,9.2,-1.6,-1.8,-0.6,0.05,172,0.04,0.16,44,25.6,20.4,6
5,Central Córdoba (SdE),2024,2024,10.4,11,1,2,8,5,0.45,10,22,-12,58.5,7,3,3,0,10.4,8.1,-4.9,-7.3,5.8,6.9,-0.4,-1.1,-1.8,0.07,110,0.06,0.27,26,23.6,21.0,12
6,Sarmiento,2024,2024,10.5,12,3,4,5,13,1.08,9,11,-2,32.7,7,1,1,0,10.5,9.7,-2.8,-3.6,6.8,4.8,-2.5,-2.7,-1.8,0.09,115,0.06,0.19,37,32.2,19.5,2
7,San Lorenzo,2024,2024,10.7,11,2,4,5,10,0.91,9,11,-2,57.3,7,2,2,0,10.7,9.1,1.8,0.2,6.3,7.5,-1.7,-2.1,-2.3,0.07,142,0.05,0.18,39,27.5,20.8,10
8,Rosario Central,2024,2024,10.9,11,4,3,4,15,1.36,13,11,2,51.2,12,0,1,1,10.9,10.1,0.7,2.2,8.1,8.3,1.1,1.9,2.9,0.1,106,0.11,0.32,37,34.9,20.2,8
9,Newell's Old Boys,2024,2024,11.2,12,3,3,6,12,1.0,6,12,-6,50.0,5,0,2,2,11.2,10.1,-0.5,-0.1,7.4,8.7,-6.2,-5.1,-3.4,0.08,127,0.04,0.12,43,33.9,18.7,4
10,Instituto,2024,2024,11.5,12,6,3,3,21,1.75,17,9,8,45.0,17,0,1,1,11.5,10.7,1.0,1.7,8.7,8.0,5.5,6.3,4.3,0.08,142,0.12,0.44,39,27.5,18.7,5
11,Platense,2024,2024,11.5,12,4,3,5,15,1.25,10,11,-1,41.0,9,1,1,0,11.5,10.7,2.2,1.4,8.2,6.7,-1.5,-1.7,-1.2,0.08,135,0.07,0.23,40,29.6,17.2,2
12,Tigre,2024,2024,11.5,12,3,4,5,13,1.08,15,18,-3,51.9,13,1,1,0,11.5,10.7,-4.8,-3.3,9.3,9.1,2.5,2.3,2.7,0.08,132,0.1,0.28,47,35.6,20.7,4
13,Belgrano,2024,2024,11.6,11,4,4,3,16,1.45,14,15,-1,51.5,14,0,0,0,11.6,11.6,-0.5,1.1,9.4,9.6,2.4,2.4,0.6,0.1,116,0.12,0.36,39,33.6,17.2,5
14,Huracán,2024,2024,12.3,12,6,6,0,24,2.0,12,4,8,46.8,10,2,2,0,12.3,10.8,2.1,0.6,7.9,7.8,-0.3,-0.8,-0.9,0.08,132,0.08,0.29,34,25.8,19.5,9
15,Estudiantes (LP),2024,2024,12.4,11,4,3,4,15,1.36,13,11,2,59.9,11,2,2,0,12.4,10.9,1.2,0.4,8.6,10.0,0.6,0.1,-0.6,0.07,156,0.07,0.21,52,33.3,19.7,3
16,Defensa y Justicia,2024,2024,12.4,12,1,5,6,8,0.67,9,21,-12,54.4,9,0,0,0,12.4,12.4,-4.5,-2.1,9.1,10.3,-3.4,-3.4,-1.1,0.08,157,0.06,0.2,45,28.7,20.0,9
17,Lanús,2024,2024,12.4,12,4,5,3,17,1.42,17,18,-1,42.9,17,0,0,0,12.4,12.4,-3.5,-2.7,8.7,7.4,4.6,4.6,3.3,0.09,136,0.13,0.34,50,36.8,18.3,4
18,Talleres,2024,2024,12.5,12,5,5,2,20,1.67,17,14,3,53.3,17,0,0,0,12.5,12.5,3.5,4.3,8.5,9.0,4.5,4.5,4.5,0.08,166,0.1,0.35,49,29.5,21.1,9
19,Boca Juniors,2024,2024,12.7,11,4,5,2,17,1.55,15,10,5,56.5,12,1,1,0,12.7,11.9,-2.4,-0.9,7.9,9.0,0.3,0.1,2.1,0.1,122,0.1,0.27,44,36.1,18.5,4
20,Banfield,2024,2024,12.8,11,2,4,5,10,0.91,9,15,-6,46.7,8,1,4,3,12.8,9.7,-3.8,-5.6,7.7,7.4,-3.8,-1.7,-0.7,0.09,116,0.07,0.23,35,30.2,18.1,8
21,Vélez Sarsfield,2024,2024,12.9,11,6,3,2,21,1.91,17,8,9,51.1,15,2,2,0,12.9,11.3,1.8,1.0,9.7,8.4,4.1,3.7,1.3,0.1,112,0.13,0.42,36,32.1,19.7,8
22,Gimnasia y Esgrima (LP),2024,2024,13.6,11,4,2,5,14,1.27,13,13,0,49.0,11,1,1,0,13.6,12.8,0.5,1.2,10.1,10.8,-1.6,-1.8,-1.1,0.09,138,0.08,0.23,47,34.1,18.6,3
23,Unión,2024,2024,14.2,12,6,4,2,22,1.83,14,10,4,47.3,12,2,2,0,14.2,12.7,4.6,3.8,10.2,10.0,-0.2,-0.7,-2.2,0.08,152,0.08,0.29,41,27.0,18.3,4
24,Deportivo Riestra,2024,2024,14.3,12,6,0,6,18,1.5,14,15,-1,34.1,13,1,2,1,14.3,12.7,0.9,0.1,8.9,9.7,-0.3,0.3,-2.9,0.1,127,0.1,0.24,54,42.5,16.0,5
25,Godoy Cruz,2024,2024,14.4,11,4,4,3,16,1.45,12,10,2,48.7,10,2,2,0,14.4,12.9,2.5,1.0,10.0,9.1,-2.4,-2.9,-2.0,0.09,141,0.07,0.29,34,24.1,20.0,11
26,Atlético Tucumán,2024,2024,14.8,11,6,4,1,22,2.0,13,7,6,46.3,11,2,3,1,14.8,12.4,5.3,4.5,10.0,8.9,-1.8,-1.4,0.0,0.09,139,0.08,0.26,43,30.9,19.3,10
27,Racing Club,2024,2024,16.9,12,6,3,3,21,1.75,18,9,9,55.4,15,2,3,1,16.9,14.6,7.7,6.1,12.4,11.7,0.1,0.4,-3.4,0.08,179,0.08,0.28,54,30.2,19.9,10
28,River Plate,2024,2024,17.7,12,4,5,3,17,1.42,15,10,5,67.3,13,2,2,0,17.7,16.1,7.1,7.1,12.4,11.6,-2.7,-3.1,-4.4,0.09,181,0.07,0.21,61,33.7,19.1,10
