Rk,Team,From,To,xG,MP,W,D,L,Pts,Pts/MP,GF,GA,GD,Poss,G-PK,PK,PKatt,PKm,xG.1,npxG,xGD,npxGD,xAG,xA,G-xG,np:G-xG,A-xAG,npxG/Sh,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK
1,Sint-Truiden,2024-2025,2024-2025,3.7,5,0,2,3,2,0.4,5,14,-9,47.0,5,0,0,0,3.7,3.7,-4.3,-3.5,3.3,3.9,1.3,1.3,0.7,0.09,40,0.13,0.36,14,35.0,17.6,1
2,Standard Liège,2024-2025,2024-2025,4.0,5,2,2,1,8,1.6,2,1,1,36.8,1,1,1,0,4.0,3.2,-1.9,-2.6,2.7,2.9,-2.0,-2.2,-2.7,0.07,48,0.02,0.11,9,18.8,20.2,4
3,Beerschot Wilrijk,2024-2025,2024-2025,4.2,5,0,1,4,1,0.2,5,12,-7,51.4,5,0,1,1,4.2,3.5,-6.1,-5.3,2.1,2.4,0.8,1.5,2.9,0.1,35,0.14,0.38,13,37.1,17.1,0
4,Gent,2024-2025,2024-2025,5.1,4,2,0,2,6,1.5,6,4,2,59.5,6,0,0,0,5.1,5.1,-0.3,-0.3,3.8,3.4,0.9,0.9,0.2,0.11,45,0.13,0.46,13,28.9,17.3,2
5,Dender,2024-2025,2024-2025,5.2,5,2,2,1,8,1.6,10,7,3,41.4,10,0,0,0,5.2,5.2,-0.4,-0.4,4.2,5.0,4.8,4.8,3.8,0.09,58,0.17,0.43,23,39.7,18.2,4
6,OH Leuven,2024-2025,2024-2025,5.5,5,1,4,0,7,1.4,6,4,2,44.6,6,0,0,0,5.5,5.5,-0.4,-0.4,4.3,3.4,0.5,0.5,1.7,0.1,55,0.11,0.27,22,40.0,17.2,2
7,Kortrijk,2024-2025,2024-2025,5.7,5,2,0,3,6,1.2,4,7,-3,42.2,4,0,0,0,5.7,5.7,-0.4,-0.4,4.0,4.5,-1.7,-1.7,-1.0,0.1,61,0.07,0.19,21,34.4,15.8,2
8,Mechelen,2024-2025,2024-2025,5.7,5,1,2,2,5,1.0,5,8,-3,49.8,4,1,1,0,5.7,4.9,-3.9,-3.9,3.4,3.7,-0.7,-0.9,-2.4,0.09,60,0.07,0.2,20,33.3,18.8,0
9,Anderlecht,2024-2025,2024-2025,5.8,4,3,1,0,10,2.5,7,3,4,57.5,6,0,0,0,5.8,5.8,0.7,0.7,5.3,4.7,0.2,0.2,-0.3,0.12,50,0.12,0.38,16,32.0,16.6,2
10,Charleroi,2024-2025,2024-2025,7.1,5,3,0,2,9,1.8,6,3,3,51.2,5,1,1,0,7.1,6.3,2.2,2.2,4.6,5.3,-1.1,-1.3,-0.6,0.1,64,0.08,0.25,20,31.3,17.5,1
11,Club Brugge,2024-2025,2024-2025,7.4,5,2,1,2,7,1.4,6,6,0,56.6,5,1,1,0,7.4,6.8,1.1,1.3,5.5,8.4,-1.4,-1.8,-2.5,0.08,86,0.06,0.19,26,30.2,16.9,1
12,Cercle Brugge,2024-2025,2024-2025,7.4,4,1,1,2,4,1.0,6,7,-1,54.5,6,0,0,0,7.4,7.4,0.3,0.3,5.9,6.7,-1.4,-1.4,-0.9,0.11,68,0.09,0.26,23,33.8,15.5,5
13,Union SG,2024-2025,2024-2025,7.7,5,2,2,1,8,1.6,7,5,2,54.6,6,1,1,0,7.7,6.9,2.8,2.0,5.3,5.0,-0.7,-0.9,-0.3,0.11,65,0.09,0.32,19,29.2,17.2,4
14,Genk,2024-2025,2024-2025,9.0,4,2,1,1,7,1.75,8,8,0,59.5,6,2,2,0,9.0,7.5,4.0,3.2,6.2,6.1,-1.0,-1.5,-1.2,0.12,62,0.1,0.32,19,30.6,17.3,3
15,Antwerp,2024-2025,2024-2025,9.5,5,2,0,3,6,1.2,8,5,3,51.0,8,0,0,0,9.5,9.5,3.8,4.4,7.2,5.4,-1.5,-1.5,-1.2,0.11,93,0.09,0.31,26,28.0,16.7,1
16,Westerlo,2024-2025,2024-2025,10.5,5,3,1,1,10,2.0,13,10,3,48.6,12,1,1,0,10.5,9.7,2.8,2.8,6.9,5.0,2.5,2.3,2.1,0.12,83,0.14,0.35,34,41.0,17.2,3
