Rk,Team,From,To,xG,MP,W,D,L,Pts,Pts/MP,GF,GA,GD,Poss,G-PK,PK,PKatt,PKm,xG.1,npxG,xGD,npxGD,xAG,xA,G-xG,np:G-xG,A-xAG,npxG/Sh,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK
1,CD Mirandés,2024-2025,2024-2025,0.9,2,1,1,0,4,2.0,2,1,1,32.0,2,0,0,0,0.9,0.9,-2.1,-2.1,0.9,0.6,1.1,1.1,1.1,0.08,12,0.17,0.5,4,33.3,18.7,0
2,Cartagena,2024-2025,2024-2025,1.4,1,0,0,1,0,0.0,1,3,-2,43.0,1,0,0,0,1.4,1.4,-0.9,-0.1,1.2,0.9,-0.4,-0.4,-0.2,0.14,10,0.1,0.33,3,30.0,15.4,0
3,Deportivo La Coruña,2024-2025,2024-2025,1.6,2,0,0,2,0,0.0,1,3,-2,60.0,1,0,0,0,1.6,1.6,-1.4,-0.6,1.3,2.3,-0.6,-0.6,-0.3,0.05,29,0.03,0.09,11,37.9,19.1,1
4,Oviedo,2024-2025,2024-2025,1.7,2,1,1,0,4,2.0,1,0,1,39.0,1,0,0,0,1.7,1.7,-0.7,-0.7,0.9,0.7,-0.7,-0.7,0.1,0.13,13,0.08,0.25,4,30.8,18.1,0
5,Tenerife,2024-2025,2024-2025,1.7,2,0,0,2,0,0.0,1,3,-2,47.5,1,0,0,0,1.7,1.7,-0.8,-0.8,1.5,0.9,-0.7,-0.7,-0.5,0.07,23,0.04,0.1,10,43.5,17.2,0
6,Málaga,2024-2025,2024-2025,1.8,2,0,2,0,2,1.0,3,3,0,62.0,3,0,0,0,1.8,1.8,-1.0,-1.0,1.8,1.4,1.2,1.2,1.2,0.12,16,0.19,0.6,5,31.3,16.6,1
7,Eldense,2024-2025,2024-2025,2.0,2,1,1,0,4,2.0,2,1,1,44.5,2,0,0,0,2.0,2.0,-0.3,-0.3,1.4,1.4,0.0,0.0,0.6,0.08,25,0.08,0.29,7,28.0,18.9,1
8,Elche,2024-2025,2024-2025,2.0,2,0,0,2,0,0.0,0,2,-2,75.5,0,0,0,0,2.0,2.0,0.3,0.3,1.9,1.6,-2.0,-2.0,-1.9,0.07,28,0.0,0.0,7,25.0,18.2,1
9,Zaragoza,2024-2025,2024-2025,2.1,1,1,0,0,3,3.0,4,0,4,39.0,4,0,0,0,2.1,2.1,1.3,1.3,1.5,1.1,1.9,1.9,2.5,0.2,11,0.36,0.57,7,63.6,12.9,0
10,Cádiz,2024-2025,2024-2025,2.3,2,0,1,1,1,0.5,1,5,-4,58.0,0,1,1,0,2.3,1.5,-2.3,-3.1,1.2,1.8,-1.3,-1.5,-1.2,0.06,25,0.0,0.0,9,36.0,15.3,2
11,Burgos,2024-2025,2024-2025,2.3,1,1,0,0,3,3.0,3,1,2,57.0,2,1,1,0,2.3,1.5,0.9,0.1,0.6,0.7,0.7,0.5,-0.6,0.14,11,0.18,0.4,5,45.5,17.1,1
12,Eibar,2024-2025,2024-2025,2.3,2,1,1,0,4,2.0,3,2,1,39.5,3,0,0,0,2.3,2.3,-1.6,-0.8,2.0,1.5,0.7,0.7,1.0,0.1,23,0.13,0.5,6,26.1,19.1,1
13,Sporting Gijón,2024-2025,2024-2025,2.3,2,0,1,1,1,0.5,1,2,-1,63.0,1,0,0,0,2.3,2.3,0.4,0.4,1.9,2.4,-1.3,-1.3,-0.9,0.08,30,0.03,0.2,5,16.7,15.2,1
14,Córdoba,2024-2025,2024-2025,2.5,1,0,0,1,0,0.0,0,1,-1,68.0,0,0,0,0,2.5,2.5,2.1,2.1,2.3,1.6,-2.5,-2.5,-2.3,0.11,24,0.0,0.0,5,20.8,19.7,2
15,Castellón,2024-2025,2024-2025,2.6,2,0,1,1,1,0.5,0,1,-1,61.5,0,0,0,0,2.6,2.6,1.0,1.0,1.9,2.9,-2.6,-2.6,-1.9,0.09,28,0.0,0.0,9,32.1,15.7,0
16,Huesca,2024-2025,2024-2025,2.7,2,2,0,0,6,3.0,3,1,2,35.0,2,1,1,0,2.7,1.9,0.9,0.1,1.8,1.9,0.3,0.1,0.2,0.13,16,0.13,0.33,6,37.5,20.0,1
17,Albacete,2024-2025,2024-2025,2.7,2,2,0,0,6,3.0,3,1,2,29.0,2,1,1,0,2.7,1.9,0.1,-0.7,1.6,1.1,0.3,0.1,0.4,0.12,16,0.13,0.5,4,25.0,20.2,0
18,Granada,2024-2025,2024-2025,2.8,2,1,0,1,3,1.5,2,2,0,59.0,2,0,0,0,2.8,2.8,0.3,1.1,2.5,2.3,-0.8,-0.8,-0.5,0.09,31,0.06,0.13,15,48.4,13.7,0
19,Racing Ferrol,2024-2025,2024-2025,3.3,2,0,1,1,1,0.5,2,3,-1,45.0,2,0,0,0,3.3,3.3,0.8,0.8,2.3,2.6,-1.3,-1.3,-1.3,0.12,29,0.07,0.29,7,24.1,15.3,1
20,Levante,2024-2025,2024-2025,3.4,2,1,1,0,4,2.0,3,2,1,38.0,3,0,0,0,3.4,3.4,1.3,2.1,2.8,1.8,-0.4,-0.4,-1.8,0.15,25,0.12,0.27,11,44.0,16.4,1
