Rk,Team,From,To,xG,MP,W,D,L,Pts,Pts/MP,GF,GA,GD,Poss,G-PK,PK,PKatt,PKm,xG.1,npxG,xGD,npxGD,xAG,xA,G-xG,np:G-xG,A-xAG,npxG/Sh,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK
1,Como,2024-2025,2024-2025,0.2,1,0,0,1,0,0.0,0,3,-3,43.0,0,0,0,0,0.2,0.2,-1.0,-1.0,0.2,0.3,-0.2,-0.2,-0.2,0.06,3,0.0,,0,0.0,19.4,0
2,Monza,2024-2025,2024-2025,0.8,2,0,1,1,1,0.5,0,1,-1,65.0,0,0,0,0,0.8,0.8,-0.4,-0.4,0.7,1.1,-0.8,-0.8,-0.7,0.05,15,0.0,0.0,3,20.0,16.4,0
3,Cagliari,2024-2025,2024-2025,1.0,1,0,1,0,1,1.0,0,0,0,43.0,0,0,0,0,1.0,1.0,0.0,0.0,0.7,0.4,-1.0,-1.0,-0.7,0.08,13,0.0,0.0,2,15.4,18.1,0
4,Juventus,2024-2025,2024-2025,1.2,1,1,0,0,3,3.0,3,0,3,57.0,3,0,0,0,1.2,1.2,1.0,1.0,0.9,0.5,1.8,1.8,1.1,0.09,13,0.23,0.5,6,46.2,20.0,1
5,Venezia,2024-2025,2024-2025,1.2,2,0,1,1,1,0.5,1,3,-2,39.5,1,0,0,0,1.2,1.2,-2.0,-1.2,0.9,1.3,-0.2,-0.2,0.1,0.06,19,0.05,0.17,6,31.6,17.9,1
6,Fiorentina,2024-2025,2024-2025,1.6,2,0,2,0,2,1.0,1,1,0,57.5,1,0,0,0,1.6,1.6,-0.7,-0.7,1.0,0.9,-0.6,-0.6,-1.0,0.06,29,0.03,0.07,15,51.7,20.8,2
7,Hellas Verona,2024-2025,2024-2025,1.7,1,1,0,0,3,3.0,3,0,3,33.0,3,0,0,0,1.7,1.7,0.8,0.8,1.8,0.5,1.3,1.3,1.2,0.21,9,0.33,0.75,4,44.4,16.1,0
8,Lecce,2024-2025,2024-2025,1.8,2,0,0,2,0,0.0,0,6,-6,43.5,0,0,0,0,1.8,1.8,-2.3,-0.7,1.6,1.5,-1.8,-1.8,-1.6,0.06,31,0.0,0.0,8,25.8,17.9,1
9,Udinese,2024-2025,2024-2025,1.8,2,1,1,0,4,2.0,3,2,1,30.5,3,0,1,1,1.8,1.0,-2.7,-2.8,0.6,0.3,1.2,2.0,1.4,0.09,11,0.27,0.75,4,36.4,18.9,0
10,Genoa,2024-2025,2024-2025,2.8,2,1,1,0,4,2.0,3,2,1,31.5,3,0,1,1,2.8,1.8,0.5,-0.5,1.0,0.7,0.2,1.2,0.0,0.08,23,0.13,0.43,7,30.4,20.7,1
11,Empoli,2024-2025,2024-2025,2.9,2,1,1,0,4,2.0,2,1,1,33.0,1,1,1,0,2.9,2.1,0.4,-0.4,1.7,1.1,-0.9,-1.1,-0.7,0.09,24,0.04,0.2,5,20.8,15.6,1
12,Roma,2024-2025,2024-2025,3.1,2,0,1,1,1,0.5,1,2,-1,65.0,1,0,0,0,3.1,3.1,-0.3,0.5,1.9,2.2,-2.1,-2.1,-0.9,0.08,41,0.02,0.1,10,24.4,17.9,1
13,Parma,2024-2025,2024-2025,3.4,2,1,1,0,4,2.0,3,2,1,39.0,3,0,0,0,3.4,3.4,0.8,0.8,2.7,1.4,-0.4,-0.4,0.3,0.16,23,0.13,0.27,11,47.8,16.2,0
14,Napoli,2024-2025,2024-2025,3.4,2,1,0,1,3,1.5,3,3,0,53.0,3,0,0,0,3.4,3.4,1.3,1.3,3.1,2.0,-0.4,-0.4,-0.1,0.11,30,0.1,0.33,9,30.0,17.6,0
15,Bologna,2024-2025,2024-2025,3.5,2,0,1,1,1,0.5,1,4,-3,67.0,0,1,1,0,3.5,2.8,0.2,0.2,2.3,1.9,-2.5,-2.8,-2.3,0.1,29,0.0,0.0,7,24.1,17.9,1
16,Torino,2024-2025,2024-2025,3.6,2,1,1,0,4,2.0,4,3,1,43.0,3,0,0,0,3.6,3.6,-1.5,-0.7,2.7,1.4,-0.6,-0.6,-0.7,0.19,20,0.15,0.33,9,45.0,15.7,1
17,Lazio,2024-2025,2024-2025,3.7,2,1,0,1,3,1.5,4,3,1,66.5,2,1,1,0,3.7,2.9,2.2,1.4,1.9,1.4,-0.7,-0.9,-1.9,0.1,29,0.07,0.22,9,31.0,16.0,0
18,Milan,2024-2025,2024-2025,4.0,2,0,1,1,1,0.5,3,4,-1,58.5,3,0,0,0,4.0,4.0,1.3,1.3,3.1,2.7,-1.0,-1.0,-1.1,0.1,43,0.07,0.3,10,23.3,18.5,0
19,Internazionale,2024-2025,2024-2025,4.2,2,1,1,0,4,2.0,4,2,2,64.5,3,1,1,0,4.2,3.5,1.9,2.0,2.7,3.3,-0.2,-0.5,0.3,0.14,27,0.11,0.33,9,33.3,14.2,2
20,Atalanta,2024-2025,2024-2025,4.7,2,1,0,1,3,1.5,5,2,3,55.0,4,1,2,1,4.7,3.1,0.6,-1.0,2.3,1.9,0.3,0.9,0.7,0.1,34,0.12,0.31,13,38.2,15.2,1
