Rk,Team,From,To,xG,MP,W,D,L,Pts,Pts/MP,GF,GA,GD,Poss,G-PK,PK,PKatt,PKm,xG.1,npxG,xGD,npxGD,xAG,xA,G-xG,np:G-xG,A-xAG,npxG/Sh,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK
1,Catanzaro,2024-2025,2024-2025,1.1,2,0,2,0,2,1.0,1,1,0,51.0,1,0,0,0,1.1,1.1,-1.0,-0.2,1.0,1.0,-0.1,-0.1,0.0,0.06,20,0.05,0.17,6,30.0,17.1,1
2,Cittadella,2024-2025,2024-2025,1.1,2,1,0,1,3,1.5,2,2,0,35.5,2,0,0,0,1.1,1.1,-1.5,-1.5,0.8,1.1,0.9,0.9,0.2,0.05,23,0.09,0.33,6,26.1,20.9,1
3,Salernitana,2024-2025,2024-2025,1.6,2,1,0,1,3,1.5,4,4,0,64.5,3,0,0,0,1.6,1.6,-1.8,-1.0,1.3,1.4,1.4,1.4,0.7,0.07,25,0.12,0.33,9,36.0,21.0,1
4,Palermo,2024-2025,2024-2025,1.8,2,0,0,2,0,0.0,0,3,-3,63.0,0,0,0,0,1.8,1.8,-0.7,-0.7,1.5,2.4,-1.8,-1.8,-1.5,0.07,26,0.0,0.0,5,19.2,16.5,0
5,Cremonese,2024-2025,2024-2025,1.9,2,1,0,1,3,1.5,1,1,0,64.5,0,1,1,0,1.9,1.1,-1.4,-2.2,0.9,2.2,-0.9,-1.1,-0.9,0.05,22,0.0,0.0,4,18.2,19.2,0
6,Reggiana,2024-2025,2024-2025,2.0,2,1,1,0,4,2.0,3,2,1,37.5,3,0,0,0,2.0,2.0,0.5,0.5,1.0,0.6,1.0,1.0,0.0,0.07,31,0.1,0.3,10,32.3,18.1,2
7,Mantova,2024-2025,2024-2025,2.1,2,1,1,0,4,2.0,5,4,1,61.5,4,0,0,0,2.1,2.1,-0.6,-0.6,1.4,1.0,1.9,1.9,1.6,0.1,21,0.19,0.44,9,42.9,16.8,0
8,Juve Stabia,2024-2025,2024-2025,2.3,2,1,1,0,4,2.0,3,1,2,45.5,3,0,0,0,2.3,2.3,0.5,0.5,2.1,2.0,0.7,0.7,0.9,0.1,23,0.13,0.38,8,34.8,18.6,0
9,Sampdoria,2024-2025,2024-2025,2.3,2,0,1,1,1,0.5,2,3,-1,55.0,2,0,0,0,2.3,2.3,-1.2,-1.2,1.6,2.0,-0.3,-0.3,-0.6,0.09,26,0.08,0.4,5,19.2,21.3,2
10,Frosinone,2024-2025,2024-2025,2.4,2,0,1,1,1,0.5,3,4,-1,47.0,3,0,0,0,2.4,2.4,-1.8,-1.0,1.2,1.3,0.6,0.6,0.8,0.09,27,0.11,0.2,15,55.6,21.5,1
11,Carrarese,2024-2025,2024-2025,2.4,2,0,0,2,0,0.0,1,3,-2,48.0,1,0,0,0,2.4,2.4,-0.9,0.7,1.8,2.0,-1.4,-1.4,-1.8,0.12,20,0.05,0.14,7,35.0,22.2,1
12,Bari,2024-2025,2024-2025,2.4,2,0,0,2,0,0.0,2,5,-3,57.5,2,0,0,0,2.4,2.4,-1.6,-0.8,2.0,2.1,-0.4,-0.4,-1.0,0.09,29,0.07,0.22,9,31.0,16.9,3
13,Brescia,2024-2025,2024-2025,2.8,2,1,0,1,3,1.5,1,1,0,49.5,1,0,0,0,2.8,2.8,1.6,1.6,2.2,2.5,-1.8,-1.8,-1.2,0.07,40,0.03,0.08,13,32.5,16.7,2
14,Modena,2024-2025,2024-2025,2.9,2,1,0,1,3,1.5,3,3,0,37.5,2,1,1,0,2.9,2.1,0.8,0.0,1.5,1.3,0.1,-0.1,0.5,0.13,21,0.1,0.33,6,28.6,17.7,1
15,Sassuolo,2024-2025,2024-2025,3.1,2,1,1,0,4,2.0,3,2,1,43.5,3,0,1,1,3.1,2.4,1.0,0.2,1.9,2.0,-0.1,0.6,1.1,0.1,24,0.13,0.25,12,50.0,20.7,2
16,Spezia,2024-2025,2024-2025,3.2,2,1,1,0,4,2.0,4,3,1,49.0,3,1,1,0,3.2,2.4,0.7,-0.1,2.2,2.0,0.8,0.6,0.8,0.15,20,0.15,0.43,7,35.0,15.1,1
17,Pisa,2024-2025,2024-2025,3.2,2,1,1,0,4,2.0,4,2,2,44.5,3,0,0,0,3.2,3.2,1.0,1.0,2.2,1.6,-0.2,-0.2,-0.2,0.11,30,0.1,0.38,8,26.7,14.7,1
18,Cesena,2024-2025,2024-2025,3.4,2,1,0,1,3,1.5,3,3,0,52.5,2,1,1,0,3.4,2.6,0.0,-0.8,2.5,2.5,-0.4,-0.6,-0.5,0.08,36,0.06,0.15,13,36.1,19.4,0
19,Südtirol,2024-2025,2024-2025,3.8,2,2,0,0,6,3.0,5,3,2,53.5,4,1,1,0,3.8,3.0,3.1,2.3,2.0,2.5,1.2,1.0,1.0,0.12,24,0.17,0.5,8,33.3,15.7,0
20,Cosenza,2024-2025,2024-2025,4.5,2,1,0,1,3,1.5,3,3,0,39.5,3,0,0,0,4.5,4.5,3.1,3.1,4.3,2.8,-1.5,-1.5,-1.3,0.13,36,0.08,0.2,15,41.7,19.5,0
